id,competition_id,date,course,player_id,out_score,in_score,total_score,handicap,net_score
83,29,2015-10-24,東庄ゴルフ倶楽部,14,,,,,
84,30,2016-03-29,成田の森,1,,,,,
85,31,2016-06-18,アスレチック,1,,,,,
86,32,2016-11-26,隨縁カントリークラブ竹岡コース,12,,,,,
87,33,2017-03-18,隨縁カントリークラブ竹岡コース,23,,,,,
88,34,2017-06-17,アスレチック,1,,,,,
89,35,2017-11-11,アクアライン,9,,,,,
90,36,2018-02-10,ラヴィスタ,4,,,,,
91,37,2018-05-12,アスレチック,1,,,,,
92,38,2018-09-08,ミルフィーユ,8,,,,,
93,39,2018-11-04,エヴァンタイユゴルフクラブ,24,,,,,
94,40,2019-03-16,アクアライン,8,,,,,
95,41,2019-06-22,大熱海国際,10,,,,,
